frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
130,2.388940000,192.168.2.20,192.168.2.20,37432,1935,80
131,2.389122000,192.168.2.20,192.168.2.20,1935,37432,72
132,2.389204000,192.168.2.20,192.168.2.20,37432,1935,2053
133,2.389269000,192.168.2.20,192.168.2.20,1935,37432,72
134,2.395284000,192.168.3.99,192.168.3.20,1935,56806,88
135,2.422161000,192.168.2.20,192.168.2.20,37432,1935,80
136,2.422308000,192.168.2.20,192.168.2.20,1935,37432,72
137,2.422414000,192.168.2.20,192.168.2.20,37432,1935,14581
138,2.422535000,192.168.2.20,192.168.2.20,1935,37432,72
139,2.435866000,192.168.3.20,192.168.3.99,56806,1935,72
140,2.455656000,192.168.2.20,192.168.2.20,37432,1935,80
141,2.455860000,192.168.2.20,192.168.2.20,1935,37432,72
142,2.455943000,192.168.2.20,192.168.2.20,37432,1935,1735
143,2.456017000,192.168.2.20,192.168.2.20,1935,37432,72
144,2.488599000,192.168.2.20,192.168.2.20,37432,1935,80
145,2.488729000,192.168.2.20,192.168.2.20,1935,37432,72
146,2.488801000,192.168.2.20,192.168.2.20,37432,1935,19745
147,2.488919000,192.168.2.20,192.168.2.20,1935,37432,72
148,2.522298000,192.168.2.20,192.168.2.20,37432,1935,80
149,2.522403000,192.168.2.20,192.168.2.20,1935,37432,72
150,2.522441000,192.168.2.20,192.168.2.20,37432,1935,2647
151,2.522482000,192.168.2.20,192.168.2.20,1935,37432,72
152,2.536715000,192.168.2.99,192.168.2.20,56806,1935,72
153,2.536822000,192.168.2.20,192.168.2.99,1935,56806,307
154,2.555760000,192.168.2.20,192.168.2.20,37432,1935,80
155,2.555861000,192.168.2.20,192.168.2.20,1935,37432,72
156,2.555899000,192.168.2.20,192.168.2.20,37432,1935,2139
157,2.555947000,192.168.2.20,192.168.2.20,1935,37432,72
158,2.589762000,192.168.2.20,192.168.2.20,37432,1935,80
159,2.589869000,192.168.2.20,192.168.2.20,1935,37432,72
160,2.589913000,192.168.2.20,192.168.2.20,37432,1935,15329
161,2.589965000,192.168.2.20,192.168.2.20,1935,37432,72
162,2.622764000,192.168.2.20,192.168.2.20,37432,1935,80
163,2.622962000,192.168.2.20,192.168.2.20,1935,37432,72
164,2.623049000,192.168.2.20,192.168.2.20,37432,1935,1912
165,2.623135000,192.168.2.20,192.168.2.20,1935,37432,72
166,2.637447000,192.168.3.99,192.168.3.20,1935,56806,307
167,2.637522000,192.168.3.20,192.168.3.99,56806,1935,72
168,2.637689000,192.168.3.20,192.168.3.99,56806,1935,84
169,2.655583000,192.168.2.20,192.168.2.20,37432,1935,80
170,2.655725000,192.168.2.20,192.168.2.20,1935,37432,72
171,2.655772000,192.168.2.20,192.168.2.20,37432,1935,2057
172,2.655812000,192.168.2.20,192.168.2.20,1935,37432,72
173,2.689161000,192.168.2.20,192.168.2.20,37432,1935,80
174,2.689338000,192.168.2.20,192.168.2.20,1935,37432,72
175,2.689436000,192.168.2.20,192.168.2.20,37432,1935,14022
176,2.689558000,192.168.2.20,192.168.2.20,1935,37432,72
177,2.722942000,192.168.2.20,192.168.2.20,37432,1935,80
178,2.723062000,192.168.2.20,192.168.2.20,1935,37432,72
179,2.723122000,192.168.2.20,192.168.2.20,37432,1935,2016
180,2.723187000,192.168.2.20,192.168.2.20,1935,37432,72
181,2.739028000,192.168.2.99,192.168.2.20,56806,1935,72
182,2.739913000,192.168.2.99,192.168.2.20,56806,1935,84
183,2.757048000,192.168.2.20,192.168.2.20,37432,1935,80
184,2.757217000,192.168.2.20,192.168.2.20,1935,37432,72
185,2.757311000,192.168.2.20,192.168.2.20,37432,1935,16779
186,2.757430000,192.168.2.20,192.168.2.20,1935,37432,72
187,2.781863000,192.168.2.20,192.168.2.99,1935,56806,72
188,2.788965000,192.168.2.20,192.168.2.20,37432,1935,80
189,2.789107000,192.168.2.20,192.168.2.20,1935,37432,72
190,2.789170000,192.168.2.20,192.168.2.20,37432,1935,2370
191,2.789236000,192.168.2.20,192.168.2.20,1935,37432,72
192,2.822358000,192.168.2.20,192.168.2.20,37432,1935,80
193,2.822485000,192.168.2.20,192.168.2.20,1935,37432,72
194,2.822546000,192.168.2.20,192.168.2.20,37432,1935,1588
195,2.822602000,192.168.2.20,192.168.2.20,1935,37432,72
196,2.856073000,192.168.2.20,192.168.2.20,37432,1935,80
197,2.856178000,192.168.2.20,192.168.2.20,1935,37432,72
