"No.","Time","Source","Destination","Protocol","Length","Info"
"3077","20.190513","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3693562 Win=1224704 Len=0 TSval=637876275 TSecr=637876234"
"3078","20.190549","192.168.2.20","192.168.2.20","RTMP","9634","Audio Data|Audio Data|Video Data"
"3079","20.228174","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4517255 Ack=3483 Win=79744 Len=8 TSval=637876312 TSecr=637876272"
"3080","20.228239","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4517263 Win=126208 Len=0 TSval=637876312 TSecr=637876312"
"3081","20.228255","192.168.2.20","192.168.2.20","RTMP","16110","Audio Data|Audio Data|Video Data"
"3082","20.228297","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4533301 Win=126208 Len=0 TSval=637876312 TSecr=637876312"
"3083","20.231531","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3703124 Win=1215232 Len=0 TSval=637876316 TSecr=637876275"
"3084","20.231568","192.168.2.20","192.168.2.20","RTMP","16118","Audio Data|Audio Data|Video Data"
"3085","20.268525","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4533301 Ack=3483 Win=79744 Len=8 TSval=637876353 TSecr=637876312"
"3086","20.268602","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4533309 Win=126208 Len=0 TSval=637876353 TSecr=637876353"
"3087","20.268632","192.168.2.20","192.168.2.20","RTMP","9008","Audio Data|Audio Data|Video Data"
"3088","20.268674","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4542245 Win=126208 Len=0 TSval=637876353 TSecr=637876353"
"3089","20.272505","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3719170 Win=1199232 Len=0 TSval=637876357 TSecr=637876316"
"3090","20.272534","192.168.2.20","192.168.2.20","RTMP","9016","Audio Data|Audio Data|Video Data"
"3091","20.307981","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4542245 Ack=3483 Win=79744 Len=8 TSval=637876392 TSecr=637876353"
"3092","20.308070","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4542253 Win=126208 Len=0 TSval=637876392 TSecr=637876392"
"3093","20.308091","192.168.2.20","192.168.2.20","RTMP","5306","Audio Data|Video Data"
