"No.","Time","Source","Destination","Protocol","Length","Info"
"98","0.072362","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"99","0.072399","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"100","0.072437","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"101","0.072476","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"102","0.072516","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"103","0.072557","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"104","0.072596","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"105","0.072634","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"106","0.072672","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"107","0.072711","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"108","0.072749","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"109","0.072789","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"110","0.072827","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"111","0.072865","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"112","0.072963","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"113","0.073627","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"114","0.073666","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"115","0.075918","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"116","0.077391","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"117","0.077439","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"118","0.077459","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"119","0.077468","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"120","0.077478","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"121","0.077496","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"122","0.077500","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
